 BeamLabel,Angle,Ant1,Ant2,Ant3,Ant4,Ant5,Ant6,Ant7,Ant8,Ant9,Ant10,Ant11,Ant12,Ant13,Ant14,Ant15,Ant16,Ant17,Ant18,Ant19,Ant20,Ant21,Ant22,Ant23,Ant24,Ant25,Ant26,Ant27,Ant28,Ant29,Ant30,Ant31,Ant32,Ant33,Ant34,Ant35,Ant36
dft42,14.063,0,-49.86,-99.719,-149.58,160.56,110.7,60.843,10.983,-38.876,-88.736,-138.6,171.55,121.69,71.826,21.967,-27.893,-77.753,-127.61,-177.47,132.67,82.809,32.95,-16.91,-66.769,-116.63,-166.49,143.65,93.793,43.933,-5.9265,-55.786,-105.65,-155.51,154.64,104.78,54.916
dft43,15.469,0,-54.729,-109.46,-164.19,141.08,86.353,31.623,-23.106,-77.836,-132.57,172.71,117.98,63.247,8.517,-46.212,-100.94,-155.67,149.6,94.87,40.14,-14.589,-69.319,-124.05,-178.78,126.49,71.764,17.034,-37.695,-92.425,-147.15,158.12,103.39,48.657,-6.0721,-60.802,-115.53
dft44,16.875,0,-59.566,-119.13,-178.7,121.73,62.168,2.6015,-56.965,-116.53,-176.1,124.34,64.769,5.203,-54.363,-113.93,-173.5,126.94,67.371,7.8045,-51.762,-111.33,-170.89,129.54,69.972,10.406,-49.16,-108.73,-168.29,132.14,72.574,13.008,-46.559,-106.13,-165.69,134.74,75.175
dft45,18.281,0,-64.367,-128.73,166.9,102.53,38.163,-26.205,-90.572,-154.94,140.69,76.325,11.958,-52.41,-116.78,178.86,114.49,50.12,-14.247,-78.615,-142.98,152.65,88.283,23.915,-40.452,-104.82,-169.19,126.45,62.078,-2.2898,-66.657,-131.02,164.61,100.24,35.873,-28.495,-92.862
dft46,19.688,0,-69.13,-138.26,152.61,83.481,14.351,-54.779,-123.91,166.96,97.832,28.702,-40.428,-109.56,-178.69,112.18,43.053,-26.077,-95.207,-164.34,126.53,57.404,-11.726,-80.856,-149.99,140.88,71.755,2.6253,-66.505,-135.63,155.24,86.106,16.976,-52.154,-121.28,169.59,100.46
dft47,21.094,0,-73.85,-147.7,138.45,64.598,-9.2523,-83.103,-156.95,129.2,55.346,-18.505,-92.355,-166.21,119.94,46.094,-27.757,-101.61,-175.46,110.69,36.841,-37.009,-110.86,175.29,101.44,27.589,-46.262,-120.11,166.04,92.187,18.337,-55.514,-129.36,156.79,82.935,9.0843,-64.766
dft48,22.5,0,-78.527,-157.05,124.42,45.893,-32.633,-111.16,170.31,91.787,13.26,-65.266,-143.79,137.68,59.154,-19.373,-97.9,-176.43,105.05,26.52,-52.006,-130.53,150.94,72.414,-6.1127,-84.639,-163.17,118.31,39.781,-38.746,-117.27,164.2,85.674,7.1475,-71.379,-149.91,131.57
dft49,23.906,0,-83.156,-166.31,110.53,27.378,-55.778,-138.93,137.91,54.756,-28.4,-111.56,165.29,82.134,-1.0217,-84.177,-167.33,109.51,26.356,-56.799,-139.95,136.89,53.734,-29.421,-112.58,164.27,81.112,-2.0435,-85.199,-168.35,108.49,25.334,-57.821,-140.98,135.87,52.712,-30.443
dft50,25.313,0,-87.734,-175.47,96.797,9.0628,-78.672,-166.41,105.86,18.126,-69.609,-157.34,114.92,27.188,-60.546,-148.28,123.99,36.251,-51.483,-139.22,133.05,45.314,-42.42,-130.15,142.11,54.377,-33.358,-121.09,151.17,63.439,-24.295,-112.03,160.24,72.502,-15.232,-102.97,169.3
dft51,26.719,0,-92.26,175.48,83.219,-9.041,-101.3,166.44,74.178,-18.082,-110.34,157.4,65.137,-27.123,-119.38,148.36,56.096,-36.164,-128.42,139.32,47.055,-45.205,-137.47,130.27,38.014,-54.246,-146.51,121.23,28.973,-63.287,-155.55,112.19,19.932,-72.328,-164.59,103.15,10.891
dft52,28.125,0,-96.731,166.54,69.808,-26.922,-123.65,139.62,42.886,-53.845,-150.58,112.69,15.963,-80.767,-177.5,85.771,-10.959,-107.69,155.58,58.849,-37.882,-134.61,128.66,31.927,-64.804,-161.53,101.73,5.0041,-91.726,171.54,74.812,-21.918,-118.65,144.62,47.89,-48.841,-145.57
dft53,29.531,0,-101.14,157.71,56.572,-44.571,-145.71,113.14,12.001,-89.142,169.72,68.573,-32.57,-133.71,125.14,24.002,-77.141,-178.28,80.574,-20.569,-121.71,137.15,36.003,-65.14,-166.28,92.575,-8.5677,-109.71,149.15,48.004,-53.139,-154.28,104.58,3.4333,-97.709,161.15,60.005
dft54,30.937,0,-105.49,149.01,43.518,-61.976,-167.47,87.037,-18.457,-123.95,130.56,25.061,-80.433,174.07,68.58,-36.914,-142.41,112.1,6.604,-98.89,155.62,50.122,-55.372,-160.87,93.641,-11.853,-117.35,137.16,31.665,-73.829,-179.32,75.184,-30.31,-135.8,118.7,13.208,-92.286
dft55,32.344,0,-109.78,140.44,30.655,-79.126,171.09,61.311,-48.471,-158.25,91.966,-17.815,-127.6,122.62,12.84,-96.941,153.28,43.496,-66.286,-176.07,74.151,-35.63,-145.41,104.81,-4.9748,-114.76,135.46,25.681,-84.101,166.12,56.336,-53.445,-163.23,86.992,-22.79,-132.57,117.65
dft56,33.75,0,-114,131.99,17.991,-96.012,149.98,35.982,-78.021,167.98,53.973,-60.03,-174.03,71.964,-42.039,-156.04,89.955,-24.048,-138.05,107.95,-6.0572,-120.06,125.94,11.934,-102.07,143.93,29.925,-84.078,161.92,47.916,-66.087,179.91,65.907,-48.096,-162.1,83.898,-30.105
dft57,35.156,0,-118.16,123.69,5.5325,-112.62,129.22,11.065,-107.09,134.75,16.597,-101.56,140.29,22.13,-96.026,145.82,27.662,-90.493,151.35,33.195,-84.961,156.88,38.727,-79.428,162.42,44.26,-73.896,167.95,49.792,-68.364,173.48,55.325,-62.831,179.01,60.857,-57.299,-175.45
dft58,36.563,0,-122.24,115.53,-6.7125,-128.95,108.81,-13.425,-135.66,102.1,-20.137,-142.37,95.388,-26.85,-149.09,88.675,-33.562,-155.8,81.963,-40.275,-162.51,75.25,-46.987,-169.22,68.538,-53.7,-175.94,61.825,-60.412,177.35,55.113,-67.125,170.64,48.4,-73.837,163.93,41.688
dft59,37.969,0,-126.25,107.51,-18.737,-144.98,88.772,-37.473,-163.72,70.036,-56.21,177.54,51.299,-74.946,158.81,32.563,-93.683,140.07,13.826,-112.42,121.34,-4.9104,-131.16,102.6,-23.647,-149.89,83.862,-42.384,-168.63,65.125,-61.12,172.63,46.389,-79.857,153.9,27.652,-98.593
dft60,39.375,0,-130.18,99.645,-30.533,-160.71,69.112,-61.065,168.76,38.58,-91.598,138.22,8.0475,-122.13,107.69,-22.485,-152.66,77.16,-53.018,176.8,46.627,-83.55,146.27,16.095,-114.08,115.74,-14.438,-144.62,85.207,-44.97,-175.15,54.675,-75.503,154.32,24.142,-106.04,123.79
dft61,40.781,0,-134.03,91.938,-42.093,-176.12,49.845,-84.186,141.78,7.7515,-126.28,99.689,-34.342,-168.37,57.596,-76.435,149.53,15.503,-118.53,107.44,-26.59,-160.62,65.348,-68.683,157.29,23.254,-110.78,115.19,-18.839,-152.87,73.099,-60.932,165.04,31.006,-103.03,122.94,-11.087
dft62,42.188,0,-137.8,84.392,-53.412,168.78,30.981,-106.82,115.37,-22.431,-160.24,61.961,-75.843,146.35,8.5493,-129.25,92.942,-44.862,177.33,39.53,-98.274,123.92,-13.882,-151.69,70.51,-67.294,154.9,17.099,-120.71,101.49,-36.313,-174.12,48.079,-89.725,132.47,-5.3325,-143.14
dft63,43.594,0,-141.49,77.013,-64.481,154.03,12.531,-128.96,89.544,-51.95,166.56,25.063,-116.43,102.08,-39.418,179.09,37.594,-103.9,114.61,-26.887,-168.38,50.126,-91.368,127.14,-14.356,-155.85,62.657,-78.837,139.67,-1.8242,-143.32,75.188,-66.305,152.2,10.707,-130.79,87.72
dft64,45,0,-145.1,69.803,-75.295,139.61,-5.4916,-150.59,64.312,-80.786,134.12,-10.983,-156.08,58.82,-86.278,128.62,-16.475,-161.57,53.329,-91.77,123.13,-21.966,-167.06,47.837,-97.261,117.64,-27.458,-172.56,42.346,-102.75,112.15,-32.949,-178.05,36.854,-108.24,106.66,-38.441
cs0,-45,0,-90,-180,0,-90,-90,-180,-180,-180,-180,90,90,0,-180,0,-90,90,-90,90,-180,-180,-90,90,-180,-90,0,90,-180,90,-90,-90,-90,0,-90,90,90
cs1,-42.429,0,-90,90,-180,90,-180,90,-180,-180,-90,-90,90,-180,-180,90,90,0,-180,-180,-180,-90,-90,0,-90,-180,-90,-180,0,-180,90,90,90,-90,90,-90,-90
cs2,-39.857,0,90,-90,-180,90,-180,90,-180,90,-90,90,0,0,0,0,90,-90,-90,0,-180,-90,0,-90,0,-90,-180,0,90,-180,0,0,-90,0,-90,-180,90
cs3,-37.286,0,-90,-180,-180,-180,-180,90,-90,0,-180,-180,90,-180,-90,-90,-180,-180,0,-90,90,-180,-180,90,0,-90,-90,90,-180,-90,-90,-180,-180,0,90,0,90
cs4,-34.714,0,90,90,-90,90,180,-90,180,0,180,0,90,0,180,-90,180,0,90,90,180,-90,0,90,-90,-90,90,90,-90,-90,180,0,-90,90,0,0,180
cs5,-32.143,0,0,-90,90,0,90,-90,-90,0,-90,90,-90,90,90,0,180,180,-90,90,180,180,180,0,180,-90,180,-90,0,0,180,90,-90,-90,90,180,180
cs6,-29.571,0,0,0,-270,0,0,-180,-180,-180,-180,0,0,0,-270,-90,-270,-270,-90,-270,0,-180,-270,0,-180,-90,-90,-270,-270,0,0,-180,0,-270,-180,-90,-270
cs7,-27,0,-90,90,-90,90,-90,-180,-90,-90,-180,-90,-180,0,90,-90,-90,-90,90,-180,0,90,90,0,90,-90,-180,0,90,-180,-90,0,-90,0,-180,0,-90
cs8,-24.429,0,0,-90,0,-90,0,180,-90,90,180,0,0,0,-90,0,0,0,0,0,90,180,90,0,-90,-90,180,-90,-90,180,180,90,0,90,-90,0,-90
cs9,-21.857,0,-90,0,-180,0,-90,-180,-90,0,90,-180,0,-180,-90,-90,-90,0,-90,90,-90,90,0,-180,-90,0,-180,-180,90,-180,-90,0,0,-180,90,90,0
cs10,-19.286,0,0,180,0,-90,0,180,-90,-90,180,-90,0,-90,90,90,90,-90,180,90,-90,180,0,-90,90,180,-90,0,180,90,-90,90,90,180,180,-90,180
cs11,-16.714,0,90,270,270,180,180,180,90,0,0,90,0,180,180,180,90,0,90,90,90,0,270,0,270,0,180,90,270,0,90,270,180,0,0,180,180
cs12,-14.143,0,0,180,0,-90,90,180,0,0,-90,90,90,90,90,180,0,90,90,-90,-90,90,180,90,-90,-90,0,180,180,-90,0,180,90,90,-90,-90,90
cs13,-11.571,0,-180,-270,-180,-270,-90,-90,-90,0,0,-180,-270,-180,-270,0,0,-90,-270,0,-270,-270,-270,-180,-180,-270,-270,-90,-90,-90,-180,-270,-180,0,-180,-180,-90
cs14,-9,0,180,90,180,270,90,0,90,180,0,180,180,0,270,270,270,270,0,90,90,180,90,180,270,180,270,0,180,0,270,270,0,180,180,180,180
cs15,-6.4286,0,90,90,-90,0,0,-180,-180,0,-180,0,-180,0,-180,-90,90,90,-180,0,-90,-180,-90,0,-180,-90,0,-90,90,0,-180,0,90,90,-90,-180,-90
cs16,-3.8571,0,0,0,90,-180,-180,-180,-90,-180,90,90,90,-90,90,0,90,90,90,0,-180,-90,0,0,-180,-180,90,90,90,0,0,-90,-90,90,0,-180,-180
cs17,-1.2857,0,180,0,0,180,180,90,90,90,180,-90,90,-90,0,90,180,-90,90,180,90,-90,-90,180,90,-90,0,0,90,90,180,-90,180,180,180,90,-90
cs18,1.2857,0,90,90,-90,-180,-180,-90,-90,0,90,0,90,-180,-180,-90,-180,0,-90,90,-90,-90,-90,-180,0,90,0,0,-180,0,-90,90,-90,-180,90,-90,90
cs19,3.8571,0,0,-180,-180,0,-90,0,0,0,-270,-180,0,0,-90,-270,-270,-270,-270,-180,0,-90,0,-90,0,-270,0,-180,0,0,-180,-90,-180,-180,-270,-180,0
cs20,6.4286,0,-180,-90,0,-270,-180,-90,-180,-270,-180,-90,0,-270,-180,-90,-180,-270,-90,-270,-180,-270,0,-90,-180,-180,-180,0,-90,0,-180,-90,-180,-270,-90,-90,-180
cs21,9,0,-90,-180,-90,-270,-180,-180,0,-180,-90,0,-90,-90,-180,0,-180,-180,-180,-180,-90,-180,-180,0,-180,-90,0,-90,-90,-180,-270,-180,0,-90,-270,-270,-270
cs22,11.571,0,-270,-180,-270,-270,-90,-90,-180,-270,-270,-180,0,-180,-90,-180,-90,-270,-270,-270,-270,-180,0,-90,-180,-270,-180,-90,-90,0,-180,-90,-180,-180,0,-180,-270
cs23,14.143,0,90,-90,-180,-90,90,-90,-90,-90,0,-90,-180,-90,0,0,0,-90,-90,-180,-180,-90,-90,0,-180,-180,0,-180,90,90,90,0,-90,-180,-180,90,0
cs24,16.714,0,90,0,270,90,180,270,0,180,0,270,0,90,270,270,0,90,90,0,0,0,180,90,180,180,90,180,180,0,180,180,180,270,90,180,90
cs25,19.286,0,0,-90,0,90,0,0,0,0,-90,-90,0,0,-90,-90,180,-90,90,180,-90,90,-90,0,-90,90,0,0,-90,90,180,180,90,0,-90,180,-90
cs26,21.857,0,-90,-180,-270,-90,-180,-90,-270,0,-270,-180,-90,-90,-270,0,-270,-90,-270,-180,-90,-180,0,0,-90,-180,-270,-90,-90,-90,-90,-90,-270,0,-90,-270,-270
cs27,24.429,0,180,180,0,180,0,180,180,0,-90,0,180,90,-90,180,0,90,0,90,0,0,-90,180,180,90,-90,180,-90,-90,180,180,90,90,0,-90,90
cs28,27,0,270,270,90,180,270,270,0,270,270,270,270,180,90,0,0,270,90,180,90,90,270,180,0,180,90,180,180,0,270,90,90,180,270,180,90
cs29,29.571,0,90,-90,90,-90,180,0,90,90,-90,180,-90,90,180,-90,180,180,90,180,180,90,180,0,0,90,180,-90,-90,0,180,-90,90,90,0,180,180
cs30,32.143,0,-90,0,90,0,90,0,90,-90,180,180,90,0,0,180,0,90,-90,90,180,90,180,-90,0,90,-90,0,0,90,180,0,0,-90,180,-90,-90
cs31,34.714,0,90,90,0,180,0,0,180,90,0,90,0,0,-90,0,-90,90,0,90,90,0,-90,90,180,0,-90,0,0,180,90,0,-90,0,180,0,-90
cs32,37.286,0,-270,-180,-180,0,-270,-180,0,-270,-180,0,-180,-180,-90,0,-180,0,-270,-180,0,-270,-180,-180,-180,-180,-270,-90,-90,-180,-270,-90,0,-270,-90,0,-180
cs33,39.857,0,-90,-90,-90,0,180,-90,-90,180,90,180,-90,0,90,-90,180,-90,90,-90,180,0,180,0,180,-90,-90,180,0,-90,90,90,0,-90,90,0,-90
cs34,42.429,0,0,0,-180,-90,-90,0,-90,-90,-90,-270,-270,0,0,0,-180,-90,-180,0,-180,-270,-90,-180,-270,-270,-270,-90,-180,0,-90,-180,0,-180,-270,-180,0
cs35,45,0,0,-180,-270,-90,-270,-180,-180,-180,-180,-180,-180,-180,-180,-180,-270,-180,-270,0,-180,-180,-180,-180,0,-270,0,-180,0,-90,0,-270,-90,-180,-270,0,-90
qpd0,-45,0,-193.74,-28.661,-224.75,-62.023,-260.47,-100.09,-300.88,-142.85,13.999,-190.32,-35.821,-242.49,-90.342,-299.37,-149.57,-0.9413,-213.49,-67.218,-282.12,-138.2,4.5503,-213.88,-73.482,-294.26,-156.22,-19.346,-243.65,-109.13,-335.79,-203.62,-72.63,-302.81,-174.17,-46.706,-280.42
qpd1,-35,0,-221.14,-83.461,-306.96,-171.62,-37.47,-264.49,-132.69,-2.0577,-232.6,-104.33,-337.23,-211.3,-86.548,-322.97,-200.57,-79.348,-319.3,-200.43,-82.728,-326.21,-210.86,-96.687,16.308,-231.87,-121.23,-11.757,-263.46,-156.34,-50.402,-305.63,-202.04,-99.627,1.6139,-258.32,-159.43
qpd2,-25,0,-252.12,-145.41,-39.885,-295.53,-192.35,-90.35,10.477,-249.87,-151.39,-54.093,-317.97,-223.02,-129.24,-36.645,-305.22,-214.97,-125.9,-38.005,-311.28,-225.74,-141.37,-58.173,-336.15,-255.31,-175.64,-97.149,-19.832,-303.69,-228.72,-154.93,-82.318,-10.879,-300.61,-231.53,-163.61
qpd3,-15,0,-285.73,-212.64,-140.72,-69.978,-0.41084,-292.02,-224.8,-158.76,-93.899,-30.209,-327.7,-266.36,-206.19,-147.21,-89.396,-32.76,-337.3,-283.01,-229.9,-177.97,-127.21,-77.628,-29.22,18.012,-295.93,-251.05,-207.35,-164.82,-123.46,-83.281,-44.278,-6.4498,-329.8,-294.32,-260.02
qpd4,-5,0,-320.96,-283.09,-246.4,-210.88,-176.54,-143.37,-111.38,-80.566,-50.926,-22.463,4.8259,-329.06,-304.12,-280.36,-257.78,-236.36,-216.13,-197.07,-179.18,-162.48,-146.94,-132.58,-119.4,-107.4,-96.565,-86.909,-78.428,-71.124,-64.994,-60.041,-56.262,-53.66,-52.232,-51.981,-52.905
qpd5,5,0,3.2748,5.3741,6.2979,6.0462,4.619,2.0163,-1.7619,-6.7157,-12.845,-20.15,-28.63,-38.286,-49.117,-61.124,-74.306,-88.664,-104.2,-120.91,-138.79,-157.85,-178.09,-199.5,-222.08,-245.85,-270.78,-296.9,-324.18,7.3523,-22.287,-53.102,-85.093,-118.26,-152.6,-188.12,-224.81
qpd6,15,0,-31.95,-65.076,-99.378,-134.85,-171.51,-209.34,-248.34,-288.52,-329.87,-12.403,-56.108,-100.99,-147.05,-194.28,-242.69,-292.27,16.972,-34.962,-88.071,-142.36,-197.82,-254.45,-312.27,-11.252,-71.415,-132.75,-195.27,-258.96,-323.82,-29.861,-97.077,-165.47,-235.04,-305.78,-17.696
qpd7,25,0,-65.562,-132.3,-200.21,-269.3,20.434,-51.005,-123.62,-197.41,-272.38,11.481,-65.836,-144.33,-224,-304.84,-26.86,-110.05,-194.42,-279.97,-6.6918,-94.589,-183.66,-273.91,-5.332,-97.931,-191.71,-286.65,-22.78,-120.08,-218.56,-318.21,-59.037,-161.04,-264.22,-8.5721,-114.1
qpd8,35,0,-96.539,-194.25,-293.14,-33.208,-134.45,-236.86,19.543,-85.224,-191.17,-298.28,-46.579,-156.05,-266.69,-18.513,-131.51,-245.68,-1.0273,-117.55,-235.25,5.879,-114.17,-235.39,2.2058,-121.37,-246.12,-12.047,-139.15,-267.43,-36.879,-167.51,-299.31,-72.291,-206.45,18.223,-118.28
qpd9,45,0,-123.94,-249.05,-15.344,-142.81,-271.45,-41.267,-172.26,-304.43,-77.771,-212.29,12.017,-124.85,-262.9,-42.119,-182.52,-324.09,-106.83,-250.76,-35.856,-182.13,-329.58,-118.2,-268,-58.98,-211.13,-4.4581,-158.96,-314.64,-111.49,-269.52,-68.725,-229.11,-30.661,-193.39,2.702
dftsa0,-45,0,-70.183,-140.37,149.45,79.27,9.0873,-61.095,-131.28,158.54,88.357,18.175,-52.008,0,-145.1,69.803,-75.295,139.61,-5.4916,-150.59,64.312,-80.786,134.12,-10.983,-156.08,0,167.18,-25.65,141.53,-51.3,115.88,-76.95,90.226,-102.6,64.576,-128.25,38.926
dftsa1,-35,0,-35.633,-71.265,-106.9,-142.53,-178.16,146.2,110.57,74.939,39.307,3.6739,-31.959,0,-117.7,124.6,6.9063,-110.79,131.51,13.813,-103.89,138.42,20.719,-96.979,145.32,0,-177.71,4.5832,-173.13,9.1663,-168.54,13.75,-163.96,18.333,-159.38,22.916,-154.79
dftsa2,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.721,-173.44,99.836,13.115,-73.606,-160.33,112.95,26.23,-60.491,-147.21,126.07,0,-157.19,45.615,-111.58,91.231,-65.962,136.85,-20.346,-177.54,25.269,-131.92,70.884
dftsa3,-15,0,35.633,71.265,106.9,142.53,178.16,-146.2,-110.57,-74.939,-39.307,-3.6739,31.959,0,-53.11,-106.22,-159.33,147.56,94.452,41.342,-11.768,-64.877,-117.99,-171.1,135.79,0,-131.9,96.2,-35.7,-167.6,60.5,-71.4,156.7,24.8,-107.1,121,-10.9
dftsa4,-5,0,70.183,140.37,-149.45,-79.27,-9.0873,61.095,131.28,-158.54,-88.357,-18.175,52.008,0,-17.884,-35.769,-53.653,-71.537,-89.422,-107.31,-125.19,-143.07,-160.96,-178.84,163.27,0,-102.6,154.8,52.2,-50.4,-153,104.4,1.8,-100.8,156.6,54,-48.6
dftsa5,5,0,102.6,-154.8,-52.2,50.4,153,-104.4,-1.8,100.8,-156.6,-54,48.6,0,17.884,35.769,53.653,71.537,89.422,107.31,125.19,143.07,160.96,178.84,-163.27,0,-70.183,-140.37,149.45,79.27,9.0873,-61.095,-131.28,158.54,88.357,18.175,-52.008
dftsa6,15,0,131.9,-96.2,35.7,167.6,-60.5,71.4,-156.7,-24.8,107.1,-121,10.9,0,53.11,106.22,159.33,-147.56,-94.452,-41.342,11.768,64.877,117.99,171.1,-135.79,0,-35.633,-71.265,-106.9,-142.53,-178.16,146.2,110.57,74.939,39.307,3.6739,-31.959
dftsa7,25,0,157.19,-45.615,111.58,-91.231,65.962,-136.85,20.346,177.54,-25.269,131.92,-70.884,0,86.721,173.44,-99.836,-13.115,73.606,160.33,-112.95,-26.23,60.491,147.21,-126.07,0,0,0,0,0,0,0,0,0,0,0,0
